speaker_id,gender,topics,conv_id,turn,text,length,label,clean_text,age_cat,clean_length
S0189,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,554,it you shot out with a staple and caught on how the hell do you do that?,18,19_29,shot staple caught hell,19-29,4
S0192,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,557,"<vocal desc=""laugh"" /> <pause dur=""short"" /> I forgot how fun this game was <vocal desc=""laugh"" />",7,19_29,vocal desc laugh pause dur short forgot fun game vocal desc laugh,19-29,12
S0189,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,558,yeah it's cool,4,19_29,yeah cool,19-29,2
S0189,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,566,er used to be like we just we'd fight for like ten minutes and like no moves would actually connect cos we'd be dodging everything,27,19_29,er used like fight like ten minutes like moves would actually connect cos dodging everything,19-29,15
S0192,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,569,"woah <pause dur=""short"" /> what the hell happened there?",7,19_29,woah pause dur short hell happened,19-29,6
S0192,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,587,yeah that's the thing you've gotta listen you can't just cut the sound out and then it's goes to another,25,19_29,yeah thing gotta listen cut sound goes another,19-29,8
S0189,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,592,kind of,2,19_29,kind,19-29,1
S0192,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,595,yeah,1,19_29,yeah,19-29,1
S0189,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,598,yeah,1,19_29,yeah,19-29,1
S0192,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,599,"we keep changing <pause dur=""short"" /> I can't really keep up with the way we are on this like I can't",20,19_29,keep changing pause dur short really keep way like,19-29,9
S0189,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,604,"I've got that <pause dur=""short"" /> it's awesome",7,19_29,got pause dur short awesome,19-29,5
S0189,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,606,yeah,1,19_29,yeah,19-29,1
S0192,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,623,"got you that time though <pause dur=""short"" /> I don't really like this Pokemon character though cos they keep changing so I'm kinda learning three characters at once",27,19_29,got time though pause dur short really like pokemon character though cos keep changing kinda learning three characters,19-29,18
S0189,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,630,crazy,1,19_29,crazy,19-29,1
S0192,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,635,"you are using that terrible controller <vocal desc=""laugh"" />",6,19_29,using terrible controller vocal desc laugh,19-29,6
S0189,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,638,"he's no good <pause dur=""short"" /> try Fox",6,19_29,good pause dur short try fox,19-29,6
S0189,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,640,oh yeah just did,4,19_29,oh yeah,19-29,2
S0189,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,644,"that one is cool <pause dur=""short"" /> I'll show you <unclear />",9,19_29,one cool pause dur short show unclear,19-29,7
S0192,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,651,yeah that was cool,4,19_29,yeah cool,19-29,2
S0192,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,655,ah that's <unclear /> but I'm sure you can get it like that,14,19_29,ah unclear sure get like,19-29,5
S0192,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,671,right,1,19_29,right,19-29,1
S0189,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,672,cos you're not playing,5,19_29,cos playing,19-29,2
S0189,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,678,"it was a bit <pause dur=""short"" /> I don't what <trunc>Ento</trunc> <trunc>En</trunc> ah Nintendo were playing at",13,19_29,bit pause dur short trunc ento trunc trunc en trunc ah nintendo playing,19-29,13
S0192,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,679,oh what are they doing next?,7,19_29,oh next,19-29,2
S0192,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,681,it was alright,3,19_29,alright,19-29,1
S0192,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,683,I really like Jet Force Gemini on it,8,19_29,really like jet force gemini,19-29,5
S0192,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,685,that was a cool game,5,19_29,cool game,19-29,2
S0189,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,688,just play that little dog thingy or <unclear />,8,19_29,play little dog thingy unclear,19-29,5
S0189,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,696,<unclear />,1,19_29,unclear,19-29,1
S0189,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,700,we'll see,3,19_29,see,19-29,1
S0189,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,702,you've got a water gun now,7,19_29,got water gun,19-29,3
S0192,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,703,what happened to my old thing where I go up in a <trunc>se</trunc> do you know what I mean when I?,21,19_29,happened old thing go trunc se trunc know mean,19-29,9
S0192,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,707,down and B just changed <unclear>now I've got</unclear>,5,19_29,b changed unclear got unclear,19-29,5
S0189,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,712,play epic guitar solos,4,19_29,play epic guitar solos,19-29,4
S0192,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,713,yeah,1,19_29,yeah,19-29,1
S0189,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,714,oh shit,2,19_29,oh shit,19-29,2
S0189,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,716,yeah,1,19_29,yeah,19-29,1
S0192,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,719,really gotta rely on weapons a little bit,9,19_29,really gotta rely weapons little bit,19-29,6
S0192,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,721,yeah yeah,2,19_29,yeah yeah,19-29,2
S0189,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,724,don't know,3,19_29,know,19-29,1
S0192,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,725,oh what is that <unclear /> doing in? oh,9,19_29,oh unclear oh,19-29,3
S0192,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,727,if you get hit by any one of those you die,11,19_29,get hit one die,19-29,4
S0189,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,728,mm,1,19_29,mm,19-29,1
S0189,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,730,let me see what this does,6,19_29,let see,19-29,2
S0189,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,734,"doesn't seem to do anything <pause dur=""long"" />",6,19_29,seem anything pause dur long,19-29,5
S0192,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,735,"oh crap <pause dur=""short"" /> what happened to me?",7,19_29,oh crap pause dur short happened,19-29,6
S0192,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,739,alright well we're on zero zero so,8,19_29,alright well zero zero,19-29,4
S0189,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,740,"yeah <pause dur=""short"" /> right",2,19_29,yeah pause dur short right,19-29,5
S0189,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,748,did you forget you could do that?,8,19_29,forget could,19-29,2
S0192,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,751,"ah <pause dur=""long"" />",1,19_29,ah pause dur long,19-29,4
S0192,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,753,"<unclear>must've</unclear> run out of fucking ammo <pause dur=""short"" /> ah <pause dur=""short"" /> ah <pause dur=""short"" /> I don't like his little thing I mean it's pointless now I've got one that shoots fire and one that shoots water",32,19_29,unclear must unclear run fucking ammo pause dur short ah pause dur short ah pause dur short like little thing mean pointless got one shoots fire one shoots water,19-29,29
S0192,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,757,"oh no <pause dur=""short"" /> <unclear>he'll run back</unclear>",2,19_29,oh pause dur short unclear run back unclear,19-29,8
S0192,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,759,"yeah <vocal desc=""laugh"" /> yeah",2,19_29,yeah vocal desc laugh yeah,19-29,5
S0192,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,761,fair and square,3,19_29,fair square,19-29,2
S0189,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,770,<unclear>get it sorted</unclear>,0,19_29,unclear get sorted unclear,19-29,4
S0192,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,781,Pikmin I'd like to see that one,8,19_29,pikmin like see one,19-29,4
S0192,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,787,wasn't it what's-his-face that had that? how do you get out of this?,16,19_29,face get,19-29,2
S0192,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,789,"oh look at that rocket boosters <pause dur=""short"" /> ah <pause dur=""short"" /> wow that hurt <pause dur=""long"" /> you just gonna keep doing that yeah?",19,19_29,oh look rocket boosters pause dur short ah pause dur short wow hurt pause dur long gonna keep yeah,19-29,19
S0192,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,791,"woah he grabbed it on his way running that was quite cool <pause dur=""short"" /> oh shit she deflected it <pause dur=""short"" /> oh",18,19_29,woah grabbed way running quite cool pause dur short oh shit deflected pause dur short oh,19-29,16
S0189,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,792,"<vocal desc=""laugh"" /> <pause dur=""short"" /> unlucky",1,19_29,vocal desc laugh pause dur short unlucky,19-29,7
S0192,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,797,"see how how full my thing is <pause dur=""short"" /> it is terrible",10,19_29,see full thing pause dur short terrible,19-29,7
S0192,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,799,"<vocal desc=""laugh"" /> <pause dur=""short"" /> I'm not entirely sure how <pause dur=""short"" /> ooh",7,19_29,vocal desc laugh pause dur short entirely sure pause dur short ooh,19-29,12
S0189,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,806,it's the windmills,4,19_29,windmills,19-29,1
S0189,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,814,<unclear>not yet</unclear>,0,19_29,unclear yet unclear,19-29,3
S0189,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,818,ah man,2,19_29,ah man,19-29,2
S0189,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,820,playing with this keyboard is hard,6,19_29,playing keyboard hard,19-29,3
S0192,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,821,it's fine until you start losing,7,19_29,fine start losing,19-29,3
S0189,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,824,well I fell over,4,19_29,well fell,19-29,2
S0189,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,826,or the ice,3,19_29,ice,19-29,1
S0192,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,829,"<vocal desc=""laugh"" />",0,19_29,vocal desc laugh,19-29,3
S0189,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,830,is that one your down B or something?,9,19_29,one b something,19-29,3
S0189,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,835,"<vocal desc=""laugh"" />",0,19_29,vocal desc laugh,19-29,3
S0192,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,836,"<vocal desc=""laugh"" />",0,19_29,vocal desc laugh,19-29,3
S0189,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,839,what the? how did I go out and you didn't'?,12,19_29,go,19-29,1
S0192,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,852,you like Kirby don't you?,7,19_29,like kirby,19-29,2
S0189,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,855,let's try it,4,19_29,let try,19-29,2
S0189,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,857,that's not Star Fox,5,19_29,star fox,19-29,2
S0192,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,864,shit,1,19_29,shit,19-29,1
S0189,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,865,look out,2,19_29,look,19-29,1
S0189,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,867,"no <pause dur=""short"" /> not my style <pause dur=""long"" />",4,19_29,pause dur short style pause dur long,19-29,7
S0189,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,869,"oh shit <pause dur=""long"" />",2,19_29,oh shit pause dur long,19-29,5
S0192,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,874,"nice <pause dur=""long"" />",1,19_29,nice pause dur long,19-29,4
S0189,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,875,you get some ridiculous game modes on there like you can make the characters ridiculously big,16,19_29,get ridiculous game modes like make characters ridiculously big,19-29,9
S0189,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,883,"er no <pause dur=""short"" /> I don't",5,19_29,er pause dur short,19-29,4
S0189,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,887,yeah,1,19_29,yeah,19-29,1
S0189,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,899,"that you just get stopped immediately <pause dur=""short"" /> it's rubbish",9,19_29,get stopped immediately pause dur short rubbish,19-29,7
S0192,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,904,"<vocal desc=""laugh"" /> and I've got three",5,19_29,vocal desc laugh got three,19-29,5
S0192,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,906,yes,1,19_29,yes,19-29,1
S0189,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,911,"yeah <vocal desc=""laugh"" />",1,19_29,yeah vocal desc laugh,19-29,4
S0189,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,919,"<unclear>okay looks good</unclear> <pause dur=""short"" /> do you wanna play that one?",8,19_29,unclear okay looks good unclear pause dur short wanna play one,19-29,11
S0189,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,921,oh Soulcalibur two,3,19_29,oh soulcalibur two,19-29,3
S0192,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,926,"do you remember that old game we used to have? on the I really liked it on the Mega Drive <pause dur=""short"" /> you were like police or something and you were constantly going along the screen like fighting people <pause dur=""short"" /> then you could press a button and like a police car could come in and shoot a bazooka <pause dur=""short"" /> do you remember?",60,19_29,remember old game used really liked mega drive pause dur short like police something constantly going along screen like fighting people pause dur short could press button like police car could come shoot bazooka pause dur short remember,19-29,38
S0189,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,931,yeah,1,19_29,yeah,19-29,1
S0192,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,932,that was a quality game,5,19_29,quality game,19-29,2
S0189,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,933,it was a good game,5,19_29,good game,19-29,2
S0189,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,935,no it's team battle,5,19_29,team battle,19-29,2
S0192,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,936,"cool <pause dur=""short"" /> but now we have a team",7,19_29,cool pause dur short team,19-29,5
S0192,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,944,"yeah it does seem to be <pause dur=""short"" /> duh duh duh duh duh yeah <vocal desc=""laugh"" />",12,19_29,yeah seem pause dur short duh duh duh duh duh yeah vocal desc laugh,19-29,14
S0192,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,946,no are you player four then?,7,19_29,player four,19-29,2
S0189,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,951,it's just on Windows some reason it's wrong,10,19_29,windows reason wrong,19-29,3
S0192,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,954,it was erm that other game you were trying to play wasn't it that wasn't working?,19,19_29,erm game trying play working,19-29,5
S0189,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,961,"<vocal desc=""laugh"" /> that was <pause dur=""short"" /> it didn't get very good reviews <vocal desc=""laugh"" />",9,19_29,vocal desc laugh pause dur short get good reviews vocal desc laugh,19-29,12
S0192,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,966,you could like power up bits of your body couldn't you?,13,19_29,could like power bits body,19-29,5
S0192,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,968,"you had to run around this weird sci-fi institute <pause dur=""short"" /> it was a bit strange",14,19_29,run around weird sci fi institute pause dur short bit strange,19-29,11
S0189,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,969,"yeah but like you were getting shot <pause dur=""short"" /> no for some reason there were no guns or anything like they just",20,19_29,yeah like getting shot pause dur short reason guns anything like,19-29,11
S0192,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,974,oh you in?,4,19_29,oh,19-29,1
S0192,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,980,that's why you boys love it isn't it?,11,19_29,boys love,19-29,2
UNKMULTI,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,982,"<vocal desc=""laugh"" />",0,19_29,vocal desc laugh,19-29,3
S0192,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,983,"go for that then <pause dur=""short"" /> that's how they sold these games anyway",12,19_29,go pause dur short sold games anyway,19-29,7
S0189,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,990,yeah it was cool,4,19_29,yeah cool,19-29,2
S0189,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,1002,quite cool,2,19_29,quite cool,19-29,2
S0189,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,1006,no not like magical moves like that,7,19_29,like magical moves like,19-29,4
S0192,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,1007,"no <pause dur=""short"" /> I always liked Mortal Kombat for that kinda stuff",10,19_29,pause dur short always liked mortal kombat kinda stuff,19-29,9
S0192,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,1009,"I don't seem to be able to do anything <vocal desc=""laugh"" />",10,19_29,seem able anything vocal desc laugh,19-29,6
S0192,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,1011,I don't ever remember playing very well at this game,11,19_29,ever remember playing well game,19-29,5
S0192,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,1019,mm duh duh duh,4,19_29,mm duh duh duh,19-29,4
UNKMULTI,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,1025,"<vocal desc=""laugh"" />",0,19_29,vocal desc laugh,19-29,3
S0192,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,1028,bit strange,2,19_29,bit strange,19-29,2
S0192,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,1030,yeah,1,19_29,yeah,19-29,1
S0192,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,1034,it's weird is he meant to be a snake or something?,13,19_29,weird meant snake something,19-29,4
S0192,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,1036,go on then show me that,6,19_29,go show,19-29,2
UNKMULTI,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,1039,"<vocal desc=""laugh"" />",0,19_29,vocal desc laugh,19-29,3
S0192,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,1040,"what the hell was that? bit of a strange character <pause dur=""short"" /> now I'm finally kicking some ass take this <unclear /> <pause dur=""short"" /> yeah <pause dur=""short"" /> it's got a button mash on this one I think <pause dur=""long"" /> Super Smash Brothers is nice and simple as well isn't it? it's just the up and B down and B left and B <pause dur=""short"" /> does it work if you that woah like double buttons on this thing?",73,19_29,hell bit strange character pause dur short finally kicking ass take unclear pause dur short yeah pause dur short got button mash one think pause dur long super smash brothers nice simple well b b left b pause dur short work woah like double buttons thing,19-29,46
S0192,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,1042,ah I didn't think you were gonna,9,19_29,ah think gonna,19-29,3
S0192,M,"['computers', 'travelling', 'computer games', 'selling stuff', 'books', 'movies', 'microphone positioning', 'instructions', 'game play. ']",S682,1044,what's that little dance he does?,8,19_29,little dance,19-29,2
